﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7tDhRsSYoDQWLr7QYEgEUR","İstemiyorum","Oguzhan Ugur","İstemiyorum","1","1","310404","spotify:user:mrkaan888","2018-01-12T23:10:34Z"
"spotify:track:3d464xtyWWSVhsFUarM9MT","Laleler Beyaz","Sakin","Hayat","1","3","238506","spotify:user:mrkaan888","2018-01-12T23:46:15Z"
"spotify:track:5P2abuInz29TBsP2SSPlTX","Uzaydan Geldiğine Göre Yorgun Olmalısın","Son Feci Bisiklet","Son Feci EP","1","1","226530","spotify:user:mrkaan888","2018-01-12T23:46:44Z"
"spotify:track:3l2EpjN1MEGNWeUYOkraQB","Future Days","Pearl Jam","Lightning Bolt","1","12","262893","spotify:user:mrkaan888","2018-01-13T16:12:44Z"
"spotify:track:5LnrIwZbPiB1ZbHbn1EBCY","Memories","Dane Amar","Yellow Umbrella","1","9","221739","spotify:user:mrkaan888","2018-01-13T16:55:24Z"
"spotify:track:78G8FsQM3m0Aehk0M5MoFG","Kimsesiz","Yaşlı Amca","Sabaha Kadar","1","2","291921","spotify:user:mrkaan888","2018-01-13T21:22:19Z"
"spotify:track:06P3DnboYlVEag0lzTaqQ7","Eros","Yaşlı Amca","Sabaha Kadar","1","4","297985","spotify:user:mrkaan888","2018-01-13T21:31:56Z"
"spotify:track:6H6MBc5oFW9KMjQ1HMcjPO","Misafir Bekler","Yaşlı Amca","Sabaha Kadar","1","5","253025","spotify:user:mrkaan888","2018-01-13T21:34:51Z"
"spotify:track:1X3K21yupgzuMpE0ywl7Wv","Ceviz Ağacı","Cem Karaca","Merhaba Gençler","1","7","349160","spotify:user:mrkaan888","2018-01-14T16:02:55Z"
"spotify:track:1k8D4tMNIiIFcQrb4bdsHF","The Longing","Storm Seeker","Pirate Scum","1","4","241706","spotify:user:mrkaan888","2018-01-17T17:01:28Z"
"spotify:track:06C7xapNmwIj7y5WA4LLuz","Destined Course","Storm Seeker","Pirate Scum","1","1","216760","spotify:user:mrkaan888","2018-01-17T17:04:23Z"
"spotify:track:0sca1GWjRFxM081N1hrO6N","Bir Beyaz Orkide","Cihan Mürtezaoğlu","Bitsin Bu Delilik","1","1","225080","spotify:user:mrkaan888","2018-01-17T23:13:58Z"
"spotify:track:1904cgJu8qru6nPcO5KiXh","Tek Nefes","Naz Ölçal","Tek Nefes","1","1","230338","spotify:user:mrkaan888","2018-01-20T11:13:42Z"
"spotify:track:5m5xDXkyQByjVoLnLAu537","Şairin Sesi","Naz Ölçal","Şairin Sesi","1","1","224597","spotify:user:mrkaan888","2018-01-20T11:13:48Z"
"spotify:track:2Ejj38lDBa3LzmzEbpZ9K7","Fısıltı","Naz Ölçal","Fısıltı","1","1","260126","spotify:user:mrkaan888","2018-01-20T11:14:03Z"
"spotify:track:6Exf2GsXLBeeKDvk7mFmuR","Memleketim","Ayten Alpman","Ayten Alpman Klasikleri (Türk Pop Tarihi)","1","1","167733","spotify:user:mrkaan888","2018-01-21T10:29:09Z"
"spotify:track:416MsJxvxSKY96DCmbJIRs","The Hanging Tree","James Newton Howard, Jennifer Lawrence","The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)","1","11","218506","spotify:user:mrkaan888","2018-01-28T22:31:26Z"
"spotify:track:5d6EWDuFfur7puQkKnt4Fj","Sweet Dreams","BØRNS","Sweet Dreams","1","1","198743","spotify:user:mrkaan888","2018-01-31T23:20:58Z"
"spotify:track:3URlLG53ktEt6EAX3unVNB","Sensiz Kalacak Bu Şehir","Badem","S'onsuz","1","2","264000","spotify:user:mrkaan888","2018-02-01T23:43:32Z"
"spotify:track:6sNNpnZrtP9mSQQVvIUr3h","Tencere Kapak","Kenan Doğulu","Aşka Türlü Şeyler","1","8","256040","spotify:user:mrkaan888","2018-02-02T00:49:59Z"
"spotify:track:4MhgH6RRoLEzc07fdxlyKV","Benmişim","Nev","Sen Gibi","1","2","264939","spotify:user:mrkaan888","2018-02-02T09:47:13Z"
